Celltype	nFrag	scE2G	BPNet	NMF_label	Plot_label	HexColorCode	CellGroupingOrder	CelltypeOrder	Order	New_Name	CelltypeColor	CardiacCellType	ConsiderForCellTypeEnrichment	CellTypeEnrichmentGrouping	CellEnrichmentGroupingColor	ConsiderForVariantOverlapping	Include_in_UMAP_main	Include_in_UMAP_Supp
Epicardial_0	19210256	TRUE	TRUE	Epicardial	EpicardialCells	#FFD700	9	1	79	Epicardial_1	#00CED1	TRUE	TRUE	Epicardial	#8B4513	TRUE	TRUE	TRUE
Epicardial_1	4513098	TRUE	TRUE	Epicardial	EpicardialCells	#FFD700	9	2	80	Epicardial_2	#ff1493	TRUE	TRUE	Epicardial	#8B4513	TRUE	TRUE	TRUE
Epicardial_3	5890712	TRUE	TRUE	Epicardial	EpicardialCells	#FFD700	9	3	81	Epicardial_3	#FF7F00	TRUE	TRUE	Epicardial	#8B4513	TRUE	TRUE	TRUE
Epicardial_4	2183546	FALSE	FALSE	Epicardial	EpicardialCells	#FFD700	9	4	82	Epicardial_4	#8B8B02	TRUE	TRUE	Epicardial	#8B4513	FALSE	TRUE	TRUE
Epicardial_5	2255815	FALSE	FALSE	Epicardial	EpicardialCells	#FFD700	9	5	83	Epicardial_5	#FFCDA2	TRUE	TRUE	Epicardial	#8B4513	FALSE	TRUE	TRUE
Epicardial_cellcycle	1909399	FALSE	FALSE	Epicardial	EpicardialCells	#FFD700	9	6	84	Epicardial_cell_cycling	#4682B4	TRUE	FALSE			FALSE	TRUE	TRUE
NC_progenitor	17042080	TRUE	TRUE	NC	NeuralCrestCells	#ff1493	10	1	85	Neural_crest_derived_cells	#87CEEB	TRUE	TRUE	NeuralCrest	#ff1493	TRUE	TRUE	TRUE
SympatheticNeuron_nonadrenergic	4975016	TRUE	TRUE	NC	AutonomicNeurons	#0000ff	11	1	86	Sympathetic_neuron	#000080	TRUE	TRUE	Neurons	#FDBF6F	TRUE	TRUE	TRUE
SympatheticNeuron	14893780	TRUE	TRUE	NC	AutonomicNeurons	#0000ff	11	2	87	Parasympathetic_neuron	#4169E1	TRUE	TRUE	Neurons	#FDBF6F	TRUE	TRUE	TRUE
Immune_T_cell_1	14520962	TRUE	FALSE	ImmuneCells	LymphoidCells	#FB9A99	12	1	88	T_cells_1	#87CEEB	FALSE	FALSE			FALSE	TRUE	TRUE
