Gene	Trait	Category
RAF1	Malformation_of_the_outflow_tract	CHD
RBFOX2	Single_ventricle_disease	CHD
SALL1	Malformation_of_the_outflow_tract	CHD
SALL4	Malformation_of_the_outflow_tract	CHD
SETD5	Atrioventricular_septal_defect	CHD
SF3B4	Atrioventricular_septal_defect	CHD
SF3B4	Malformation_of_the_outflow_tract	CHD
SMAD2	Atrioventricular_septal_defect	CHD
SMAD2	Malformation_of_the_outflow_tract	CHD
SMAD3	Single_ventricle_disease	CHD
SMARCA4	Single_ventricle_disease	CHD
SMC3	Malformation_of_the_outflow_tract	CHD
STRA6	Single_ventricle_disease	CHD
TAB2	Malformation_of_the_outflow_tract	CHD
TBX20	Single_ventricle_disease	CHD
TBX5	Atrioventricular_septal_defect	CHD
TFAP2B	Malformation_of_the_outflow_tract	CHD
TRAF7	Single_ventricle_disease	CHD
UBR1	Malformation_of_the_outflow_tract	CHD
ZFPM2	Malformation_of_the_outflow_tract	CHD
ZIC3	Atrioventricular_septal_defect	CHD
ZIC3	Malformation_of_the_outflow_tract	CHD
ZIC3	Single_ventricle_disease	CHD
ACTA2	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	CardiovascularDisease
FBN1	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	CardiovascularDisease
FOXE3	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	CardiovascularDisease
LOX	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	CardiovascularDisease
MFAP5	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	CardiovascularDisease
MYH11	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	CardiovascularDisease
MYLK	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	CardiovascularDisease
PRKG1	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	CardiovascularDisease
SMAD3	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	CardiovascularDisease
TGFBR1	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	CardiovascularDisease
TGFBR2	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	CardiovascularDisease
THSD4	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	CardiovascularDisease
ABCC9	DilatedCardiomyopathy	CardiovascularDisease
ACTC1	DilatedCardiomyopathy	CardiovascularDisease
ACTN2	DilatedCardiomyopathy	CardiovascularDisease
