Gene	Trait	n_genes	category
SMARCE1	Obstructive_lesions	83	CHD
SMC1A	Obstructive_lesions	83	CHD
SMC3	Obstructive_lesions	83	CHD
SMG9	Obstructive_lesions	83	CHD
SOS1	Obstructive_lesions	83	CHD
TAB2	Obstructive_lesions	83	CHD
TGFBR2	Obstructive_lesions	83	CHD
TMEM260	Obstructive_lesions	83	CHD
TRAF7	Obstructive_lesions	83	CHD
ZEB2	Obstructive_lesions	83	CHD
ZIC3	Obstructive_lesions	83	CHD
ARID1A	Malformation_of_outflow_tracts	67	CHD
CFC1	Malformation_of_outflow_tracts	67	CHD
CHD4	Malformation_of_outflow_tracts	67	CHD
CHST14	Malformation_of_outflow_tracts	67	CHD
CREBBP	Malformation_of_outflow_tracts	67	CHD
FGFR2	Malformation_of_outflow_tracts	67	CHD
FLNA	Malformation_of_outflow_tracts	67	CHD
KMT2D	Malformation_of_outflow_tracts	67	CHD
KYNU	Malformation_of_outflow_tracts	67	CHD
MEIS2	Malformation_of_outflow_tracts	67	CHD
NF1	Malformation_of_outflow_tracts	67	CHD
NKX2-5	Malformation_of_outflow_tracts	67	CHD
NODAL	Malformation_of_outflow_tracts	67	CHD
NOTCH1	Malformation_of_outflow_tracts	67	CHD
SMAD4	Malformation_of_outflow_tracts	67	CHD
SMAD6	Malformation_of_outflow_tracts	67	CHD
STRA6	Malformation_of_outflow_tracts	67	CHD
TBX1	Malformation_of_outflow_tracts	67	CHD
TBX20	Malformation_of_outflow_tracts	67	CHD
TMEM260	Malformation_of_outflow_tracts	67	CHD
ZEB2	Malformation_of_outflow_tracts	67	CHD
ACVR1	Atrioventricular_septal_defect	28	CHD
ACVR1	Malformation_of_outflow_tracts	67	CHD
ACVR2B	Atrioventricular_septal_defect	28	CHD
ACVR2B	Malformation_of_outflow_tracts	67	CHD
ANKRD11	Atrioventricular_septal_defect	28	CHD
ARID1B	Atrioventricular_septal_defect	28	CHD
BCOR	Malformation_of_outflow_tracts	67	CHD
BMPR2	Atrioventricular_septal_defect	28	CHD
BMPR2	Malformation_of_outflow_tracts	67	CHD
CFC1	Atrioventricular_septal_defect	28	CHD
CRELD1	Atrioventricular_septal_defect	28	CHD
DLL4	Malformation_of_outflow_tracts	67	CHD
DNAH11	Atrioventricular_septal_defect	28	CHD
DNAH11	Malformation_of_outflow_tracts	67	CHD
DNAH11	Functional_single_ventricle	22	CHD
DNAH5	Atrioventricular_septal_defect	28	CHD
EVC	Atrioventricular_septal_defect	28	CHD
EVC	Malformation_of_outflow_tracts	67	CHD
EVC2	Atrioventricular_septal_defect	28	CHD
EVC2	Malformation_of_outflow_tracts	67	CHD
FGFR2	Functional_single_ventricle	22	CHD
FLNA	Atrioventricular_septal_defect	28	CHD
FLNA	Functional_single_ventricle	22	CHD
FLT4	Malformation_of_outflow_tracts	67	CHD
FOXC1	Malformation_of_outflow_tracts	67	CHD
FOXC2	Malformation_of_outflow_tracts	67	CHD
FOXH1	Malformation_of_outflow_tracts	67	CHD
FOXP1	Atrioventricular_septal_defect	28	CHD
FOXP1	Functional_single_ventricle	22	CHD
GATA4	Atrioventricular_septal_defect	28	CHD
GATA4	Malformation_of_outflow_tracts	67	CHD
GATA4	Functional_single_ventricle	22	CHD
GATA5	Malformation_of_outflow_tracts	67	CHD
GATA6	Atrioventricular_septal_defect	28	CHD
GATA6	Malformation_of_outflow_tracts	67	CHD
GDF1	Atrioventricular_septal_defect	28	CHD
GDF1	Malformation_of_outflow_tracts	67	CHD
GJA1	Functional_single_ventricle	22	CHD
GLI3	Atrioventricular_septal_defect	28	CHD
GLI3	Malformation_of_outflow_tracts	67	CHD
HAAO	Functional_single_ventricle	22	CHD
HAND1	Functional_single_ventricle	22	CHD
HAND2	Malformation_of_outflow_tracts	67	CHD
HNRNPK	Malformation_of_outflow_tracts	67	CHD
JAG1	Malformation_of_outflow_tracts	67	CHD
KDM6A	Functional_single_ventricle	22	CHD
KDR	Malformation_of_outflow_tracts	67	CHD
KYNU	Functional_single_ventricle	22	CHD
LTBP2	Malformation_of_outflow_tracts	67	CHD
MED13L	Malformation_of_outflow_tracts	67	CHD
MEIS2	Functional_single_ventricle	22	CHD
MESP1	Malformation_of_outflow_tracts	67	CHD
MYH6	Malformation_of_outflow_tracts	67	CHD
NKX2-5	Atrioventricular_septal_defect	28	CHD
NKX2-5	Functional_single_ventricle	22	CHD
NKX2-6	Malformation_of_outflow_tracts	67	CHD
NODAL	Atrioventricular_septal_defect	28	CHD
NODAL	Functional_single_ventricle	22	CHD
NOTCH1	Functional_single_ventricle	22	CHD
NOTCH2	Malformation_of_outflow_tracts	67	CHD
NPHP4	Atrioventricular_septal_defect	28	CHD
NPHP4	Malformation_of_outflow_tracts	67	CHD
NR2F2	Atrioventricular_septal_defect	28	CHD
PBX1	Malformation_of_outflow_tracts	67	CHD
PIGL	Malformation_of_outflow_tracts	67	CHD
PITX2	Malformation_of_outflow_tracts	67	CHD
PKD1L1	Malformation_of_outflow_tracts	67	CHD
PKD1L1	Functional_single_ventricle	22	CHD
PRKACB	Atrioventricular_septal_defect	28	CHD
PRKD1	Atrioventricular_septal_defect	28	CHD
PRKD1	Malformation_of_outflow_tracts	67	CHD
RAB23	Malformation_of_outflow_tracts	67	CHD
RAD21	Malformation_of_outflow_tracts	67	CHD
RAF1	Malformation_of_outflow_tracts	67	CHD
RBFOX2	Functional_single_ventricle	22	CHD
SALL1	Malformation_of_outflow_tracts	67	CHD
SALL4	Malformation_of_outflow_tracts	67	CHD
SETD5	Atrioventricular_septal_defect	28	CHD
SF3B4	Atrioventricular_septal_defect	28	CHD
SF3B4	Malformation_of_outflow_tracts	67	CHD
SMAD2	Atrioventricular_septal_defect	28	CHD
SMAD2	Malformation_of_outflow_tracts	67	CHD
SMAD3	Functional_single_ventricle	22	CHD
SMARCA4	Functional_single_ventricle	22	CHD
SMC3	Malformation_of_outflow_tracts	67	CHD
STRA6	Functional_single_ventricle	22	CHD
TAB2	Malformation_of_outflow_tracts	67	CHD
TBX20	Functional_single_ventricle	22	CHD
TBX5	Atrioventricular_septal_defect	28	CHD
TFAP2B	Malformation_of_outflow_tracts	67	CHD
TRAF7	Functional_single_ventricle	22	CHD
UBR1	Malformation_of_outflow_tracts	67	CHD
ZFPM2	Malformation_of_outflow_tracts	67	CHD
ZIC3	Atrioventricular_septal_defect	28	CHD
ZIC3	Malformation_of_outflow_tracts	67	CHD
ZIC3	Functional_single_ventricle	22	CHD
ACTA2	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	77	CD
FBN1	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	77	CD
FOXE3	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	77	CD
LOX	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	77	CD
MFAP5	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	77	CD
MYH11	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	77	CD
MYLK	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	77	CD
PRKG1	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	77	CD
SMAD3	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	77	CD
TGFBR1	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	77	CD
TGFBR2	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	77	CD
THSD4	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	77	CD
ABCC9	DilatedCardiomyopathy	77	CD
ACTC1	DilatedCardiomyopathy	77	CD
ACTN2	DilatedCardiomyopathy	77	CD
ANKRD1	DilatedCardiomyopathy	77	CD
BAG3	DilatedCardiomyopathy	77	CD
BAG5	DilatedCardiomyopathy	77	CD
CAP2	DilatedCardiomyopathy	77	CD
CRYAB	DilatedCardiomyopathy	77	CD
CSRP3	DilatedCardiomyopathy	77	CD
DES	DilatedCardiomyopathy	77	CD
DMD	DilatedCardiomyopathy	77	CD
DSG2	DilatedCardiomyopathy	77	CD
DSP	DilatedCardiomyopathy	77	CD
EYA4	DilatedCardiomyopathy	77	CD
FKTN	DilatedCardiomyopathy	77	CD
FLII	DilatedCardiomyopathy	77	CD
GATAD1	DilatedCardiomyopathy	77	CD
GET3	DilatedCardiomyopathy	77	CD
JPH2	DilatedCardiomyopathy	77	CD
LAMA4	DilatedCardiomyopathy	77	CD
LDB3	DilatedCardiomyopathy	77	CD
LMNA	DilatedCardiomyopathy	77	CD
LMOD2	DilatedCardiomyopathy	77	CD
MYBPC3	DilatedCardiomyopathy	77	CD
MYH6	DilatedCardiomyopathy	77	CD
MYH7	DilatedCardiomyopathy	77	CD
MYPN	DilatedCardiomyopathy	77	CD
NEXN	DilatedCardiomyopathy	77	CD
PLN	DilatedCardiomyopathy	77	CD
PPCS	DilatedCardiomyopathy	77	CD
PSEN1	DilatedCardiomyopathy	77	CD
PSEN2	DilatedCardiomyopathy	77	CD
RAF1	DilatedCardiomyopathy	77	CD
RBM20	DilatedCardiomyopathy	77	CD
RNF220	DilatedCardiomyopathy	77	CD
